CELDA_ORIGEN ;NOMBRE_CELDA_ORIGEN ;CELDA_DESTINO ;NOMBRE_CELDA_DESTINO ;FLUJO ;
001A ;Montesinos, Los y Algorfa ;002A ;Formentera del Segura y otros municipios ;46 ;
001A ;Montesinos, Los y Algorfa ;003A ;Bigastro y Jacarilla ;17 ;
001A ;Montesinos, Los y Algorfa ;021A ;Orihuela (distrito 08) y Rafal ;17 ;
001A ;Montesinos, Los y Algorfa ;023A ;Almoradí ;75 ;
001A ;Montesinos, Los y Algorfa ;036A ;Crevillent ;17 ;
001A ;Montesinos, Los y Algorfa ;041A ;Guardamar del Segura ;17 ;
001A ;Montesinos, Los y Algorfa ;058A ;Rojales ;133 ;
001A ;Montesinos, Los y Algorfa ;061A ;San Miguel de Salinas ;46 ;
001A ;Montesinos, Los y Algorfa ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;17 ;
001A ;Montesinos, Los y Algorfa ;091A ;Orihuela (distrito 05) ;50 ;
001A ;Montesinos, Los y Algorfa ;097A ;Torrevieja (distrito 01) ;207 ;
001A ;Montesinos, Los y Algorfa ;098A ;Torrevieja (distrito 02) ;99 ;
001A ;Montesinos, Los y Algorfa ;099A ;Torrevieja (distrito 03) ;50 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;008B ;Sant Vicenç de Castellet y otros municipios ;31 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;073B ;Sant Salvador de Guardiola y Manresa (distrito 06) ;116 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;106B ;Sallent ;37 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;107B ;Santpedor ;79 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;117B ;Sant Fruitós de Bages ;127 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;137B ;Súria ;75 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;253B ;Manresa (distrito 02) ;231 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;254B ;Manresa (distritos 01 y 03) ;39 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;255B ;Manresa (distrito 04) ;234 ;
001B ;Sant Joan de Vilatorrada y otros municipios ;256B ;Manresa (distrito 05) ;170 ;
001M ;Fuentidueña de Tajo y otros municipios ;002M ;Perales de Tajuña y otros municipios ;20 ;
001M ;Fuentidueña de Tajo y otros municipios ;04CU ;Barajas de Melo y otros municipios ;22 ;
001M ;Fuentidueña de Tajo y otros municipios ;080M ;Villarejo de Salvanés ;28 ;
001M ;Fuentidueña de Tajo y otros municipios ;096M ;Arganda del Rey ;27 ;
001M ;Fuentidueña de Tajo y otros municipios ;11GU ;Mondéjar y otros municipios ;29 ;
001M ;Fuentidueña de Tajo y otros municipios ;26CU ;Tarancón ;34 ;
001S ;Real de la Jara, El y otros municipios ;025S ;Alcalá del Río ;25 ;
001S ;Real de la Jara, El y otros municipios ;040S ;Castilblanco de los Arroyos ;58 ;
001S ;Real de la Jara, El y otros municipios ;055S ;Guillena ;27 ;
001S ;Real de la Jara, El y otros municipios ;10HU ;Santa Olalla del Cala y otros municipios ;27 ;
001S ;Real de la Jara, El y otros municipios ;12HU ;Minas de Riotinto y otros municipios ;35 ;
001V ;Daimús y otros municipios ;002V ;Bellreguard y otros municipios ;183 ;
001V ;Daimús y otros municipios ;003V ;Gandia (distritos 01 y 03) ;153 ;
001V ;Daimús y otros municipios ;004V ;Vilallonga/Villalonga y Ador ;49 ;
001V ;Daimús y otros municipios ;012V ;Xeraco y Xeresa ;24 ;
001V ;Daimús y otros municipios ;037A ;Dénia ;47 ;
001V ;Daimús y otros municipios ;049V ;Oliva y otros municipios ;111 ;
001V ;Daimús y otros municipios ;093V ;Gandia (distrito 04) ;141 ;
001V ;Daimús y otros municipios ;127V ;Cullera ;24 ;
001V ;Daimús y otros municipios ;142V ;Gandia (distrito 02) ;62 ;
002A ;Formentera del Segura y otros municipios ;001A ;Montesinos, Los y Algorfa ;44 ;
002A ;Formentera del Segura y otros municipios ;004A ;Cox y otros municipios ;17 ;
002A ;Formentera del Segura y otros municipios ;005A ;Albatera y San Isidro ;17 ;
002A ;Formentera del Segura y otros municipios ;021A ;Orihuela (distrito 08) y Rafal ;17 ;
002A ;Formentera del Segura y otros municipios ;023A ;Almoradí ;225 ;
002A ;Formentera del Segura y otros municipios ;031A ;Callosa de Segura ;17 ;
002A ;Formentera del Segura y otros municipios ;034A ;Catral ;17 ;
002A ;Formentera del Segura y otros municipios ;036A ;Crevillent ;17 ;
002A ;Formentera del Segura y otros municipios ;038A ;Dolores ;17 ;
002A ;Formentera del Segura y otros municipios ;041A ;Guardamar del Segura ;48 ;
002A ;Formentera del Segura y otros municipios ;058A ;Rojales ;547 ;
002A ;Formentera del Segura y otros municipios ;059A ;San Fulgencio ;106 ;
002A ;Formentera del Segura y otros municipios ;062A ;Santa Pola ;17 ;
002A ;Formentera del Segura y otros municipios ;078A ;Elche/Elx (distrito 02) ;17 ;
002A ;Formentera del Segura y otros municipios ;083A ;Elche/Elx (distrito 07 y sección 023 del distrito 06) ;44 ;
002A ;Formentera del Segura y otros municipios ;091A ;Orihuela (distrito 05) ;33 ;
