Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
001A;Montesinos, Los y Algorfa;001A;Montesinos, Los y Algorfa;4.574
001A;Montesinos, Los y Algorfa;002A;Formentera del Segura y otros municipios;38
001A;Montesinos, Los y Algorfa;023A;Almoradí;94
001A;Montesinos, Los y Algorfa;041A;Guardamar del Segura;125
001A;Montesinos, Los y Algorfa;058A;Rojales;174
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;76
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);169
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);343
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);225
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);172
001A;Montesinos, Los y Algorfa;OTRO;OTROS DESTINOS;468
001B;Sant Joan de Vilatorrada y otros municipios;001B;Sant Joan de Vilatorrada y otros municipios;8.182
001B;Sant Joan de Vilatorrada y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;40
001B;Sant Joan de Vilatorrada y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;50
001B;Sant Joan de Vilatorrada y otros municipios;032B;Taradell y otros municipios;48
001B;Sant Joan de Vilatorrada y otros municipios;044B;Cardona y Sant Mateu de Bages;41
001B;Sant Joan de Vilatorrada y otros municipios;045B;Balsareny y Castellnou de Bages;48
001B;Sant Joan de Vilatorrada y otros municipios;06LL;Bellver de Cerdanya y otros municipios;35
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);142
001B;Sant Joan de Vilatorrada y otros municipios;091B;Navarcles;29
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;70
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;126
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;163
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;114
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);273
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);137
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);292
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);284
001B;Sant Joan de Vilatorrada y otros municipios;OTRO;OTROS DESTINOS;1.104
